Country,Region,CO2_Emissions_PerCapita,SPI_Score,Under5_Mortality,Life_Expectancy,Women_in_Parliament_Pct,Vaccination_Coverage_Pct,Obesity_Rate_Pct
Mauritania,Sub-Saharan Africa,0.92,62.49,37.8,68.484,20.3,90,22.7
Mauritius,Sub-Saharan Africa,3.184,78.35,15.17,74.926,20,96,19.2
Malawi,Sub-Saharan Africa,0.085,65.58,38.34,67.353,20.7,87,7.7
Malaysia,East & South Asia,8.464,80.42,8.08,76.657,13.5,96,22.1
Namibia,Sub-Saharan Africa,1.615,58.68,40.65,67.385,44.2,83,17
Niger,Sub-Saharan Africa,0.097,68.91,114.79,61.183,30.7,80,6
Nigeria,Sub-Saharan Africa,0.581,60.9,104.91,54.462,3.6,60,12.4
Nicaragua,LAC,0.799,53.62,13.43,74.947,51.7,85,33.6
Netherlands,OECD,6.746,94.32,3.96,82.158,40.7,89,14.5
Norway,OECD,7.132,93.56,2.35,83.308,46.2,96,19.1
Nepal,East & South Asia,0.543,64.02,26.47,70.354,33.1,93,7
Nauru,Oceania,4.518,42.15,8.94,62.109,10.5,98,69.9
New Zealand,OECD,5.784,91.31,4.68,82.088,50,88,33.6
Oman,MENA,17.033,58.25,10.4,80.031,2.3,99,31.1
Pakistan,East & South Asia,0.843,68.57,58.46,67.649,20.5,84,23
Panama,LAC,3.159,72.28,13.28,79.594,22.5,66,36.1
Peru,LAC,1.634,76.55,15.8,77.74,38.8,84,27.3
Philippines,East & South Asia,1.327,85.2,26.88,69.833,27.3,81,8.7
Palau,Oceania,12.312,55.06,22.3,69.269,6.3,96,41.1
Papua New Guinea,Oceania,0.813,45.91,40.31,66.134,1.7,35,20.5
Poland,OECD,6.974,94.65,4.35,78.633,28.3,91,27.5
Portugal,OECD,3.629,93.78,3.16,82.36,36.1,98,21.8
Paraguay,LAC,1.194,75.62,17.02,73.844,18.8,71,33
Qatar,MENA,42.763,66.79,6.02,82.368,4.4,95,43.1
Romania,E. Europe & C. Asia,3.402,88.62,6.63,75.938,19.1,78,34
Russian Federation,E. Europe & C. Asia,12.55,82.94,4.5,73.154,16.4,97,24.2
Rwanda,Sub-Saharan Africa,0.111,73.14,40.02,67.785,61.3,94,4.9
Saudi Arabia,MENA,20.07,81.53,6.16,78.732,19.9,97,40.6
Sudan,Sub-Saharan Africa,0.421,44.74,50.15,66.331,,51,17
Senegal,Sub-Saharan Africa,0.679,77.21,38.52,68.683,46.1,76,10.2
Singapore,East & South Asia,8.215,88.77,2.07,83.736,29.1,97,13.9
Solomon Islands,Oceania,0.414,42.94,20.55,70.528,8,68,22.6
Sierra Leone,Sub-Saharan Africa,0.142,61.77,94.28,61.786,13,90,7.1
El Salvador,LAC,1.296,74.89,10.43,72.099,27.4,96,30.9
Somalia,Sub-Saharan Africa,0.031,49.69,104.02,58.816,19.7,42,14.6
Serbia,E. Europe & C. Asia,5.898,84.41,5.23,76.769,34.8,84,22.5
South Sudan,Sub-Saharan Africa,0.144,27.51,98.73,57.617,32.4,72,8.6
Sao Tome and Principe,Sub-Saharan Africa,0.724,53.1,13.94,69.718,14.6,86,16.5
Suriname,LAC,4.267,57.21,16.23,73.631,29.4,71,29
Slovak Republic,OECD,5.257,89.77,6.08,78.341,22,94,26.8
Slovenia,OECD,5.344,94.22,2.25,81.603,37.8,89,19.4
Sweden,OECD,3.455,94.41,2.48,83.262,46.4,93,15.3
Eswatini,Sub-Saharan Africa,0.916,61.19,45.01,64.123,14.9,85,30.1
Seychelles,Sub-Saharan Africa,5.133,64,14.25,72.862,22.9,93,29.4
Syrian Arab Republic,MENA,1.125,36.18,20.55,72.12,10.8,66,33.9
